_id,name,price,description,discount,vendors,scrapedAt,__v,originalPrice,reviews,rating,availability,badge,image
674c24660c30ce92df2d4fb2,"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33",$272.00$299.99,,,[],2024-12-01 08:54:53.903,0,$299.99,2605K+ bought in past monthList: Only 15 left in stock - order soon.More Buying Choices,4.1 out of 5 stars,,,
674c24660c30ce92df2d4fb4,"HP Newest Flagship 14"" Laptop with Free AI-Powered Microsoft 365 | Bluetooth Earphones | 16GB RAM | 512GB External Drive & 128GB onboard Storage | Intel 4-Core Processor | 14"" HD Display | Windows 11",$299.98$399.99,,,[],2024-12-01 08:54:53.904,0,$399.99,32400+ bought in past monthTypical:,4.9 out of 5 stars,,,
674c24660c30ce92df2d4fb6,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",$212.00$249.99,,,[],2024-12-01 08:54:53.904,0,$249.99,"1,8533K+ bought in past monthTypical price:",4.0 out of 5 stars,,,
674c24660c30ce92df2d4fb8,"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",$130.07$199.99,,,[],2024-12-01 08:54:53.905,0,$199.99,"10,2764K+ bought in past monthList: Only 16 left in stock - order soon.More Buying Choices",4.5 out of 5 stars,,,
674c24660c30ce92df2d4fba,"Lenovo Essential Touchscreen Laptop | Ideapad 3i | 40GB RAM | 15.6"" FHD Touch Screen Display | 1TB SSD Storage | Intel Core i3 Processor | Windows 11 Pro | Business and Home Lover Laptop",$499.99$799.99,,,[],2024-12-01 08:54:53.905,0,$799.99,4500+ bought in past monthList Price: Save $50.00,4.5 out of 5 stars,,,
674c24660c30ce92df2d4fbc,"ASUS Vivobook Go 15.6” Laptop, AMD Ryzen 5 7520U, 8GB, 512GB, Windows 11 Home, Cool Silver, E1504FA-AS54",$309.99$389.99,,,[],2024-12-01 08:54:53.906,0,$389.99,2051K+ bought in past monthList: More Buying Choices,4.3 out of 5 stars,,,
674c24660c30ce92df2d4fbe,"Lenovo IdeaPad 1 Student Laptop, Intel Dual Core Processor, 20GB RAM, 1TB SSD + 128GB eMMC, 15.6"" FHD Display, 1 Year Office 365, Windows 11 Home, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Grey",$322.15$379.00,,,[],2024-12-01 08:54:53.906,0,$379.00,8773K+ bought in past monthList: More Buying Choices,4.1 out of 5 stars,,,
674c24660c30ce92df2d4fc0,"HP Stream 14"" HD Lightweight Laptop, Intel Celeron N4120, 16GB RAM, 224GB Storage(64GB eMMC + 160GB Docking Station), Intel UHD Graphics, HD Webcam, 1 Year Office 365, WiFi, Bluetooth, Win 11s, White",$249.00$349.00,,,[],2024-12-01 08:54:53.907,0,$349.00,"1,234500+ bought in past monthTypical:",4.2 out of 5 stars,,,
674c24660c30ce92df2d4fc2,"Apple 2024 MacBook Air 15-inch Laptop with M3 chip: Built for Apple Intelligence, 15.3-inch Liquid Retina Display, 24GB Unified Memory, 512GB SSD Storage, Backlit Keyboard, Touch ID; Midnight","$1,424.00$1,699.00",,,[],2024-12-01 08:54:53.908,0,"$1,699.00",9081K+ bought in past monthList: More Buying Choices,4.7 out of 5 stars,,,
674c24660c30ce92df2d4fc4,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” 16:10 FHD 165Hz Display, NVIDIA® GeForce RTX™ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","$1,099.99$1,399.99",,,[],2024-12-01 08:54:53.909,0,"$1,399.99","1,4516K+ bought in past monthList: More Buying Choices",4.3 out of 5 stars,,,
674c24660c30ce92df2d4fc6,"Lenovo IdeaPad 1 Student Laptop, 15.6"" FHD Display, Intel Dual Core Processor, 12GB RAM, 512GB SSD + 128GB eMMC, 1 Year Office 365, Wi-Fi 6, Webcam, Bluetooth, SD Card Reader, Windows 11 Home, Grey",$288.15$339.00,,,[],2024-12-01 08:54:53.910,0,$339.00,3432K+ bought in past monthTypical: More Buying Choices,4.2 out of 5 stars,,,
674c24660c30ce92df2d4fc8,"Dell Inspiron 16 Plus 7640 Laptop - 16.0-inch 16:10 2.5K Display, Intel Core i7-13620H Processor, 16GB LPDDR5 RAM, 1TB SSD, Intel UHD Graphics, Windows 11 Home, Onsite & Migrate Service - Ice Blue",$699.99$949.99,,,[],2024-12-01 08:54:53.911,0,$949.99,"711K+ bought in past monthList: 1 sustainability featureThis product has sustainability features recognized by trusted certifications.Conserves energy compared to similar products.EPEATEPEAT addresses the sustainability impacts of electronic products. An EPEAT registered product must meet required criteria and can meet optional criteria. The criteria depend on the type of product and can include energy efficiency, reduction of fluorinated greenhouse gases (F-Gases), and end of life management. Products meeting 50% - 75% optional criteria are “Silver” and those meeting more than 75% are “Gold”.Certification LevelSILVERDiscover more products with sustainability features.Learn moreMore Buying Choices",4.2 out of 5 stars,,,
674c24660c30ce92df2d4fca,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120 Processor, 16GB RAM, 64GB SSD, Intel UHD Graphics, 720p Webcam, WiFi, HDMI, Win 11 S, Gold (Renewed)",$249.00,,,[],2024-12-01 08:54:53.911,0,,"1,368300+ bought in past monthMore Buying Choices",4.3 out of 5 stars,,,
674c24660c30ce92df2d4fcc,"Lenovo IdeaPad 5X 2-in-1 Copilot+ - Extra-Long Battery Life - 14"" OLED Touch Display - 16GB Memory - 512GB Storage - Snapdragon® X Plus 8-core Processor - Windows 11 Home - Pen Included - Luna Gray",$799.99,,,[],2024-12-01 08:54:53.912,0,,4,4.0 out of 5 stars,,,
674c24660c30ce92df2d4fce,"NIMO 15.6 FHD Student Laptop, 16GB RAM, 1TB SSD, Backlit Keyboard, Fingerprint, Intel Pentium Quad-Core N100 (Beat to i3-1115G4, Up to 3.4GHz), 2 Years Warranty, 90 Days Return, WiFi 6, Win 11",$299.99$499.99,,,[],2024-12-01 08:54:56.738,0,$499.99,93400+ bought in past monthList Price: Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them.,4.6 out of 5 stars,,,
